Unnamed: 0,name,address,lat,lon,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),Is Early Voting,Is Drop Off,manual
1260,Del Norte County Clerk,"981 H St #160, Crescent City, CA 95531, USA",41.75685,-124.20173,1260.0,CA,DEL NORTE COUNTY,Locality wide location,False,False,1.0
1261,"COUNTY COURTHOUSE, MAIN HALLWAY","450 H St, Crescent City, CA 95531, USA",41.75286,-124.1994,1261.0,CA,DEL NORTE COUNTY,PRECINCT 01,False,False,1.0
1262,GRACE LUTHERAN CHURCH,"188 E Cooper Ave, Crescent City, CA 95531, USA",41.76039,-124.2033,1262.0,CA,DEL NORTE COUNTY,PRECINCT 02,False,False,1.0
1263,SUTTER COAST COMMUNITY CLINIC,"780 E Washington Blvd, Crescent City, CA 95531, USA",41.77382,-124.19421,1263.0,CA,DEL NORTE COUNTY,PRECINCT 03,False,False,1.0
1264,VETERANS MEMORIAL BUILDING,"810 H St, Crescent City, CA 95531, USA",41.75563,-124.20153,1264.0,CA,DEL NORTE COUNTY,PRECINCT 04,False,False,1.0
1265,MASONIC LODGE,"250 9th St, Crescent City, CA 95531, USA",41.75376,-124.20694,1265.0,CA,DEL NORTE COUNTY,PRECINCT 05,False,False,1.0
1266,DEL NORTE FAMILY RESOURCE CENTER,"494 Pacific Ave, Crescent City, CA 95531, USA",41.75862,-124.20784,1266.0,CA,DEL NORTE COUNTY,PRECINCT 06,False,False,1.0
1267,DEL NORTE COUNTY AIRPORT,"Del Norte County Regional Airport, 1650 Dale Rupert Rd, Crescent City, CA 95531, USA",41.77479,-124.23715,1267.0,CA,DEL NORTE COUNTY,PRECINCT 07,False,False,1.0
1268,HOWONQUET HALL,"101 Indian Ct, Smith River, CA 95567, USA",41.9572,-124.20569,1268.0,CA,DEL NORTE COUNTY,PRECINCT 08,False,False,1.0
1269,SMITH RIVER COMMUNITY HALL,"241 W First St, Smith River, CA 95567, USA",41.92632,-124.14821,1269.0,CA,DEL NORTE COUNTY,PRECINCT 09,False,False,1.0
1270,HIOUCHI COMMUNITY FELLOWSHIP,"105 Sunkist Ln, Crescent City, CA 95531, USA",41.79186,-124.06266,1270.0,CA,DEL NORTE COUNTY,PRECINCT 10,False,False,1.0
1271,FORT DICK BIBLE CHURCH,"6725 Lake Earl Dr, Crescent City, CA 95531, USA",41.86596,-124.14961,1271.0,CA,DEL NORTE COUNTY,PRECINCT 11,False,False,1.0
1272,GASQUET BIBLE CHURCH,"1340 Gasquet Flat Rd, Gasquet, CA 95543, USA",41.84713,-123.97909,1272.0,CA,DEL NORTE COUNTY,PRECINCT 12,False,False,1.0
1273,CRESCENT FIRE PROTECTION BUILDING,"255 W Washington Blvd, Crescent City, CA 95531, USA",41.77238,-124.20547,1273.0,CA,DEL NORTE COUNTY,"PRECINCT 13, PRECINCT 14",False,False,1.0
1274,LAKE EARL GRANGE,"6820 Lake Earl Dr, Crescent City, CA 95531, USA",41.86827,-124.14951,1274.0,CA,DEL NORTE COUNTY,PRECINCT 15,False,False,1.0
1275,REDWOODS FAMILY CHURCH,"2900 English Ln, Crescent City, CA 95531, USA",41.79747,-124.14912,1275.0,CA,DEL NORTE COUNTY,PRECINCT 16,False,False,1.0
1276,CRESCENT CITY HARBOR DISTRICT,"101 Citizens Dock Rd, Crescent City, CA 95531, USA",41.74643,-124.18325,1276.0,CA,DEL NORTE COUNTY,PRECINCT 17,False,False,1.0
1277,KLAMATH COMMUNITY CENTER,"219 Salmon Ave, Klamath, CA 95548, USA",41.53279,-124.04272,1277.0,CA,DEL NORTE COUNTY,PRECINCT 18,False,False,1.0
