geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_asn,vbm_rate_lat,vbm_rate_youth
6019000100,19,0.12033,0,0.44608,0,0.38565,0,0.48481,0,0.18254,0,0.04805,0,0.1172,0,0.5772,0,0.2174,0,0.00527,0,0.48433,0,0.01671,0.00066,2860,0.84344,3390.8608,0.6698,0.76649,0.63844,0.58983
6019000200,19,0.36182,0,0.73988,0,0.14323,0,0.49231,0,0.11916,0,0.11045,0,0.14495,0,0.67422,0,0.05331,0,0.00207,0,0.11448,0,0.00552,0.00142,3167,1.98753,1593.43641,0.56935,0.52565,0.57278,0.58056
6019000300,19,0.24218,0,0.80349,0,0.23066,0,0.52528,0,0.06047,0,0.03328,1,0.21468,0,0.63313,0,0.07901,1,0.00378,0,0.19686,0,0.00252,0.00253,3609,1.88757,1911.98129,0.61513,0.78774,0.59869,0.52532
6019000400,19,0.34808,0,0.80175,0,0.16515,0,0.44724,0,0.17036,0,0.10624,0,0.01779,0,0.8006,0,0.07083,0,0.00497,0,0.2676,0,0.00939,0.00306,6343,3.40358,1863.62606,0.592,0.66974,0.57649,0.4462
6019000501,19,0.35122,0,0.76326,0,0.18658,0,0.49036,0,0.1165,0,0.02525,1,0.07739,0,0.80367,0,0.08513,0,0.00185,0,0.32913,0,0.00255,0.00103,2815,0.67236,4186.75796,0.61963,0.65493,0.58254,0.55049
6019000502,19,0.3492,0,0.78947,0,0.17521,0,0.48053,0,0.07816,0,0.03837,1,0.01806,1,0.74464,0,0.16055,0,0.00288,0,0.42513,0,0.03137,0.00128,3606,1.18341,3047.11657,0.59341,0.63652,0.55904,0.52145
6019000600,19,0.25784,0,0.6311,0,0.20853,0,0.52425,0,0.09965,0,0.02399,1,0.1072,0,0.69679,0,0.16583,0,0.0046,0,0.18604,0,0.05634,0.00338,6161,2.46447,2499.92538,0.5816,0.67491,0.55916,0.50475
6019000700,19,0.27046,0,0.83449,0,0.22998,0,0.45161,0,0.14043,0,0.0565,0,0.2186,0,0.66594,0,0.03319,1,0.00382,0,0.02792,0,0.0065,0.00344,3921,8.28184,473.44548,0.58164,0.7263,0.615,0.46701
6019000800,19,0.30789,0,0.74114,0,0.15935,0,0.52533,0,0.07337,0,0.14833,1,0.0622,1,0.66986,0,0.11404,0,0.00096,0,0.34139,0,0.00473,0.00023,964,7.67883,125.5399,0.86532,0.99102,0.72578,0.62511
6019000901,19,0.24483,0,0.89119,0,0.14303,0,0.5277,0,0.13508,0,0.10301,1,0.21736,0,0.59248,0,0.01296,1,0.00245,0,0.24109,0,0.00056,0.00182,3151,1.95461,1612.08748,0.50957,0.7629,0.49649,0.51394
6019000902,19,0.27815,0,0.76111,0,0.20441,0,0.63215,0,0.11939,0,0.1173,0,0.13358,0,0.71488,0,0.01419,1,0.00314,0,0.0,1,0.00188,0.00225,5252,1.97049,2665.32106,0.63687,0.54755,0.59126,0.55338
6019001000,19,0.31857,0,0.81299,0,0.12388,0,0.48299,0,0.08816,0,0.16379,0,0.19901,0,0.59655,0,0.02198,0,0.00293,0,0.07395,0,0.00576,0.00214,4106,4.89497,838.81989,0.62525,0.71955,0.64411,0.62116
6019001100,19,0.30721,0,0.83504,0,0.19882,0,0.38659,0,0.1087,0,0.0087,1,0.2,0,0.73659,0,0.02935,1,0.00238,0,0.0,1,0.00864,0.00192,3174,3.75184,845.9859,0.59147,0.63599,0.60553,0.51549
6019001201,19,0.38191,0,0.95164,0,0.17204,0,0.36009,0,0.11063,0,0.09761,1,0.03742,1,0.8102,0,0.03471,1,0.00425,0,0.14981,0,0.0067,0.00377,5936,5.77115,1028.56391,0.54916,0.5794,0.53356,0.53192
6019001202,19,0.29026,0,0.92694,0,0.2042,0,0.33367,0,0.11492,0,0.16782,0,0.06648,0,0.74058,0,0.01865,1,0.00337,0,0.05756,0,0.00468,0.00313,4756,3.40196,1398.01843,0.55112,0.78209,0.51929,0.53275
6019001301,19,0.34161,0,0.87644,0,0.23042,0,0.38503,0,0.13385,0,0.09874,0,0.00451,1,0.85301,0,0.03679,0,0.00419,0,0.14476,0,0.00217,0.00359,5653,1.95939,2885.08031,0.58325,0.40909,0.5643,0.53297
6019001303,19,0.44345,0,0.89428,0,0.14019,0,0.30736,0,0.15348,0,0.14955,0,0.07477,1,0.73003,0,0.01456,0,0.00189,0,0.20295,0,0.00063,0.00108,2888,0.64342,4488.48603,0.56697,0.5908,0.54472,0.45139
6019001304,19,0.39618,0,0.90988,0,0.13908,0,0.39713,0,0.10511,0,0.21913,0,0.09911,0,0.64247,0,0.0242,1,0.00412,0,0.31138,0,0.00173,0.003,5796,1.30781,4431.85249,0.53549,0.69233,0.50902,0.4394
6019001407,19,0.2332,0,0.77006,0,0.23111,0,0.47483,0,0.10088,0,0.10452,0,0.18012,0,0.60827,0,0.07411,0,0.00392,0,0.24441,0,0.00465,0.00284,4694,1.29243,3631.9113,0.51293,0.64286,0.49635,0.39796
6019001408,19,0.19049,0,0.64781,0,0.25592,0,0.25287,0,0.19133,0,0.11589,0,0.03025,0,0.42894,0,0.3812,0,0.00357,0,0.39004,0,0.00412,0.00221,2504,1.21871,2054.63318,0.66411,0.58333,0.61056,0.47917
6019001409,19,0.05963,0,0.97907,0,0.15913,0,0.11644,0,0.05717,0,0.21512,0,0.0499,0,0.31008,0,0.37258,0,0.00242,0,0.18419,0,0.00171,0.00281,1848,2.4879,742.79385,0.58769,0.63156,0.54372,0.47349
6019001410,19,0.29422,0,0.96769,0,0.10426,0,0.13969,0,0.13314,0,0.28895,0,0.04774,0,0.55176,0,0.0898,0,0.01148,0,0.3063,0,0.00303,0.00885,9109,7.93309,1148.22799,0.58939,0.74912,0.51214,0.49694
6019001411,19,0.16664,0,0.8355,0,0.10586,0,0.25798,0,0.07671,0,0.24428,0,0.04127,0,0.46493,0,0.19469,0,0.00663,0,0.36056,0,0.00255,0.00555,5276,2.50985,2102.12062,0.56099,0.63126,0.49299,0.47214
6019001412,19,0.18408,0,0.97391,0,0.10723,0,0.1067,0,0.13208,0,0.28689,0,0.04084,1,0.40613,0,0.23715,0,0.00337,0,0.3096,0,0.00145,0.00349,2790,4.80026,581.21798,0.56816,0.53377,0.48472,0.53711
6019001413,19,0.12478,0,1.0,0,0.04994,0,0.05728,1,0.06809,0,0.21019,0,0.01298,1,0.47917,0,0.26161,0,0.00653,0,0.29407,0,0.00189,0.00725,4605,10.51527,437.93453,0.56915,0.70439,0.50534,0.50986
6019001414,19,0.208,0,0.96423,0,0.14137,0,0.19512,0,0.08179,0,0.355,0,0.03658,1,0.35848,0,0.23171,0,0.00854,0,0.18689,0,0.00244,0.00903,7381,6.38995,1155.09466,0.60325,0.69549,0.535,0.51693
6019001500,19,0.2536,0,0.94255,0,0.16898,0,0.23022,0,0.11434,0,0.01455,1,0.0101,1,0.75475,0,0.21859,0,0.00227,0,0.2591,0,0.02431,0.00163,2206,38.23091,57.702,0.675,0.78223,0.55307,0.67973
6019001600,19,0.14297,0,0.9329,0,0.14347,0,0.20822,0,0.08459,0,0.07194,0,0.00189,1,0.67353,0,0.22281,0,0.00606,0,0.27123,0,0.00589,0.00565,5099,51.21583,99.55906,0.61026,0.80173,0.51217,0.4545
6019001700,19,0.22315,0,0.96324,0,0.08307,0,0.24363,0,0.0961,0,0.152,0,0.00299,1,0.62861,0,0.18308,0,0.00639,0,0.29271,0,0.01335,0.00477,5701,73.43578,77.63245,0.65486,0.64369,0.56125,0.57381
6019001800,19,0.2684,0,0.92411,0,0.08379,0,0.22159,0,0.07543,0,0.04876,0,0.00688,1,0.70827,0,0.21817,0,0.00452,0,0.1875,0,0.01327,0.00505,4615,57.12842,80.78291,0.59216,0.75968,0.45018,0.49934
6019001900,19,0.22898,0,0.94641,0,0.1233,0,0.27054,0,0.08288,0,0.09795,0,0.11841,0,0.59526,0,0.17725,0,0.0033,0,0.31732,0,0.00287,0.00209,2914,66.56578,43.77625,0.69557,0.75033,0.64213,0.61435
6019002000,19,0.25972,0,0.92898,0,0.21439,0,0.52592,0,0.10307,0,0.07568,0,0.10958,0,0.61208,0,0.1615,0,0.0055,0,0.35087,0,0.01045,0.00317,6369,5.50248,1157.47799,0.58251,0.61818,0.5311,0.4753
6019002100,19,0.07049,1,0.78952,0,0.11226,0,0.22402,0,0.10343,0,0.0025,1,0.09744,0,0.59727,0,0.29214,0,0.0069,0,0.25262,0,0.0015,0.00593,5419,1.82601,2967.67728,0.58144,0.62645,0.52913,0.47895
6019002200,19,0.08746,0,0.85082,0,0.09482,0,0.24287,0,0.07092,0,0.0149,1,0.04801,1,0.50745,0,0.36921,0,0.00448,0,0.1963,0,0.00379,0.00439,3594,1.32271,2717.14324,0.58924,0.74054,0.54255,0.50249
6019002300,19,0.16041,0,0.83399,0,0.18468,0,0.44432,0,0.07699,0,0.00502,1,0.02957,1,0.60139,0,0.32775,0,0.00371,0,0.12905,0,0.00302,0.00359,3624,1.49625,2422.05632,0.5851,0.67136,0.56278,0.59172
6019002400,19,0.24293,0,0.69872,0,0.1772,0,0.48588,0,0.21756,0,0.23464,0,0.03772,1,0.6503,0,0.07402,0,0.00411,0,0.25209,0,0.00486,0.00226,4959,2.44647,2027.00231,0.59219,0.69088,0.59479,0.5009
6019002501,19,0.26839,0,0.85725,0,0.16667,0,0.52013,0,0.14473,0,0.17333,0,0.03749,0,0.70145,0,0.07246,0,0.00392,0,0.24783,0,0.00142,0.00292,5098,1.30838,3896.42445,0.54349,0.60321,0.51618,0.476
6019002502,19,0.31085,0,0.71661,0,0.22531,0,0.64126,0,0.14807,0,0.28927,0,0.0045,1,0.62023,0,0.07486,0,0.00327,0,0.42589,0,0.001,0.00118,5431,1.29562,4191.81767,0.54431,0.62727,0.49887,0.38962
6019002601,19,0.42591,0,0.84473,0,0.1313,0,0.48251,0,0.09204,0,0.0503,1,0.01715,1,0.89043,0,0.02992,1,0.00333,0,0.0,1,0.00152,0.00271,5821,1.3075,4452.01781,0.60894,0.59086,0.59426,0.57048
6019002602,19,0.31478,0,0.90827,0,0.11271,0,0.258,0,0.08701,0,0.04896,1,0.05881,1,0.75093,0,0.12507,0,0.00311,0,0.06944,0,0.00131,0.00325,3520,1.30457,2698.20139,0.55809,0.57143,0.53556,0.48
6019002701,19,0.3138,0,0.94571,0,0.11147,0,0.37999,0,0.12884,0,0.07678,0,0.02111,1,0.82486,0,0.07318,0,0.00312,0,0.07186,0,0.00139,0.00296,4673,1.30077,3592.49238,0.593,0.56597,0.57594,0.51103
6019002702,19,0.41769,0,0.78963,0,0.17517,0,0.56754,0,0.13797,0,0.16991,1,0.03459,1,0.73445,0,0.05122,0,0.00298,0,0.11095,0,0.00188,0.00251,5882,1.30778,4497.70355,0.58218,0.60337,0.56363,0.48538
6019002800,19,0.34549,0,0.76929,0,0.11913,0,0.50822,0,0.10778,0,0.192,0,0.03467,1,0.736,0,0.02978,0,0.00318,0,0.16462,0,0.00498,0.00209,5205,2.63933,1972.08901,0.61168,0.76896,0.57043,0.62724
6019002903,19,0.33522,0,0.74207,0,0.14544,0,0.48059,0,0.11303,0,0.1518,0,0.03316,1,0.60042,0,0.16348,0,0.00324,0,0.22336,0,0.00387,0.00218,4329,1.29839,3334.13153,0.58046,0.77177,0.51711,0.57267
6019002904,19,0.2308,0,0.94438,0,0.14597,0,0.2967,0,0.12821,0,0.21212,0,0.08658,1,0.55811,0,0.13487,0,0.00284,0,0.25497,0,0.00056,0.00289,2897,1.3077,2215.34153,0.52983,0.62888,0.46047,0.38074
6019002905,19,0.17985,0,0.85118,0,0.19825,0,0.37867,0,0.16588,0,0.18402,0,0.08563,0,0.56212,0,0.14607,0,0.00296,0,0.36862,0,0.00103,0.00214,2889,1.26161,2289.93824,0.54232,0.71997,0.47571,0.43363
6019002906,19,0.26484,0,0.88524,0,0.14825,0,0.26443,0,0.11002,0,0.2287,0,0.0788,0,0.5725,0,0.09949,0,0.00503,0,0.29014,0,0.00133,0.00345,5520,1.37304,4020.27242,0.60543,0.7273,0.56326,0.55293
6019003001,19,0.28486,0,0.87929,0,0.21409,0,0.22877,0,0.09172,0,0.27301,0,0.09357,0,0.48969,0,0.11419,0,0.00309,0,0.35803,0,0.00623,0.00179,3175,2.63258,1206.04011,0.60615,0.75152,0.54311,0.53954
6019003003,19,0.28748,0,0.94746,0,0.11364,0,0.41127,0,0.15452,0,0.34131,0,0.10601,0,0.38641,0,0.15794,0,0.00421,0,0.41213,0,0.00174,0.00262,4154,1.31941,3148.37155,0.57354,0.62614,0.51619,0.56672
6019003004,19,0.19899,0,0.90257,0,0.21168,0,0.3039,0,0.09038,0,0.12244,0,0.01854,1,0.57667,0,0.25879,0,0.00265,0,0.26053,0,0.00057,0.00225,2301,1.30627,1761.50475,0.62541,0.51548,0.59087,0.5753
6019003102,19,0.10448,0,0.8727,0,0.13875,0,0.22874,0,0.12344,0,0.09762,0,0.06106,0,0.42834,0,0.37272,0,0.00839,0,0.33259,0,0.00732,0.00801,7048,2.28056,3090.46502,0.46593,0.5357,0.39859,0.42744
6019003103,19,0.08938,0,0.93939,0,0.18628,0,0.37476,0,0.12999,0,0.09711,0,0.01748,1,0.53668,0,0.33352,0,0.00616,0,0.30085,0,0.00122,0.00722,5708,1.59391,3581.12429,0.4841,0.49009,0.43791,0.45106
6019003104,19,0.08713,0,0.91623,0,0.10514,0,0.20564,0,0.14111,0,0.16736,0,0.04236,1,0.33966,0,0.39007,0,0.00477,0,0.3075,0,0.02269,0.00471,3810,10.04241,379.39097,0.54527,0.70788,0.4838,0.47332
6019003201,19,0.20539,0,0.9224,0,0.1094,0,0.22067,0,0.15412,0,0.18895,0,0.0432,0,0.59798,0,0.14419,0,0.00534,0,0.39348,0,0.00074,0.00463,4398,1.63576,2688.66029,0.49101,0.66675,0.44564,0.41597
6019003202,19,0.17233,0,0.78944,0,0.18858,0,0.40914,0,0.11934,0,0.15918,0,0.09442,0,0.52738,0,0.20218,0,0.00543,0,0.34379,0,0.00229,0.00423,5265,1.60619,3277.94515,0.55173,0.64646,0.47339,0.4947
6019003301,19,0.22965,0,0.84884,0,0.13439,0,0.31678,0,0.1016,0,0.07628,0,0.06538,0,0.56122,0,0.24647,0,0.0039,0,0.26974,0,0.00325,0.00309,3507,1.30791,2681.3748,0.57727,0.72836,0.51919,0.45533
6019003302,19,0.22289,0,0.82609,0,0.20224,0,0.30661,0,0.08632,0,0.10672,0,0.04862,0,0.66687,0,0.14607,0,0.00445,0,0.17896,0,0.0009,0.00408,4749,1.29871,3656.70707,0.514,0.49998,0.48446,0.39393
6019003400,19,0.18904,0,0.84826,0,0.14459,0,0.41865,0,0.09339,0,0.12653,0,0.03565,0,0.6365,0,0.15016,0,0.00506,0,0.35576,0,0.00286,0.0041,4555,1.91742,2375.59296,0.5528,0.44862,0.49146,0.42581
6019003500,19,0.0585,0,0.82667,0,0.22879,0,0.32662,0,0.07544,0,0.03846,1,0.0916,0,0.5039,0,0.31289,0,0.00706,0,0.33211,0,0.01109,0.00699,5674,2.59494,2186.55888,0.52156,0.6478,0.47024,0.42545
6019003600,19,0.01515,0,0.9102,0,0.14467,0,0.14466,0,0.05998,0,0.0071,1,0.06433,1,0.36424,0,0.55907,0,0.0057,0,0.21222,0,0.00206,0.00764,4009,1.94819,2057.80431,0.5306,0.63283,0.51604,0.5584
6019003701,19,0.18878,0,0.90133,0,0.16404,0,0.2481,0,0.07825,0,0.02934,1,0.05265,1,0.68815,0,0.21433,0,0.0036,0,0.2343,0,0.00169,0.00289,3314,1.12154,2954.87549,0.56218,0.52381,0.53766,0.44444
6019003702,19,0.23082,0,0.87786,0,0.15505,0,0.34546,0,0.06336,0,0.11546,0,0.08566,0,0.54731,0,0.22009,0,0.00482,0,0.16075,0,0.00155,0.00472,4933,1.46394,3369.68055,0.55817,0.55016,0.50152,0.38101
6019003803,19,0.18676,0,0.98431,0,0.10455,0,0.07788,0,0.10925,0,0.23748,0,0.05287,0,0.44138,0,0.22719,0,0.01002,0,0.30742,0,0.00294,0.01059,8153,26.66817,305.72026,0.56033,0.65819,0.48883,0.51283
6019003804,19,0.16037,0,0.9791,0,0.14111,0,0.18845,0,0.10032,0,0.18382,0,0.08689,0,0.50453,0,0.18867,0,0.0069,0,0.22931,0,0.00077,0.0071,5531,2.59265,2133.33914,0.53015,0.60137,0.4944,0.47646
6019003805,19,0.32407,0,0.89593,0,0.13696,0,0.29577,0,0.09628,0,0.24248,0,0.05534,1,0.58651,0,0.08758,0,0.00536,0,0.3586,0,0.00153,0.0045,6852,2.24929,3046.29428,0.56247,0.73248,0.50219,0.43563
6019003807,19,0.19785,0,0.85241,0,0.16151,0,0.32447,0,0.07988,0,0.15598,0,0.0621,0,0.49883,0,0.25277,0,0.00327,0,0.24021,0,0.00183,0.00158,3362,4.52436,743.08804,0.75211,0.83503,0.72007,0.75227
6019003808,19,0.1782,0,0.97639,0,0.1312,0,0.13458,0,0.07717,0,0.19723,0,0.08238,0,0.54941,0,0.15735,0,0.00558,0,0.28749,0,0.00162,0.00457,5082,4.57454,1110.93122,0.58717,0.72072,0.56308,0.5146
6019003809,19,0.23177,0,0.86416,0,0.1006,0,0.21949,0,0.13243,0,0.25405,0,0.08089,0,0.41409,0,0.19459,0,0.00501,0,0.36399,0,0.00346,0.00493,4771,2.78641,1712.23768,0.50264,0.633,0.47763,0.44769
6019003810,19,0.1461,0,0.98494,0,0.11435,0,0.17037,0,0.09764,0,0.17537,0,0.12384,0,0.48052,0,0.19651,0,0.0059,0,0.20657,0,0.00116,0.00654,5256,2.61045,2013.44731,0.5441,0.67249,0.51592,0.48917
6019003900,19,0.33253,0,0.95021,0,0.13748,0,0.27908,0,0.11353,0,0.00016,1,0.00393,1,0.75577,0,0.23327,0,0.00489,0,0.31761,0,0.004,0.00345,5804,458.31255,12.66385,0.69234,0.57449,0.54952,0.63031
