Unnamed: 0,name,address,lat,lon,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),Is Early Voting,Is Drop Off,manual
0,TAMARACK ELEMENTARY SCHOOL LIBRARY,1000 UNION AVE  AVENAL 93204,35.99837,-120.12487,,,,,,,
1,PIONEER MIDDLE SCHOOL ROOM 907,101 W PIONEER WAY  HANFORD 93230,36.36922,-119.64666,,,,,,,
2,CORCORAN CITY COUNCIL CHAMBERS,1015 CHITTENDEN AVE  CORCORAN 93212,36.09933,-119.5593,,,,,,,
3,HANFORD FIRE STATION #3,1070 S 12TH AVE  HANFORD 93230,36.31347,-119.67297,,,,,,,
4,ARMONA COMMUNITY CENTER BOARD ROOM,11115 C ST  ARMONA 93202,36.31186,-119.70668,,,,,,,
5,LEMOORE UNION ELEM. DISTRICT OFFICE,1200 W CINNAMON DR  LEMOORE 93245,36.30717,-119.79988,,,,,,,
6,TARA ESTATES CLUBHOUSE #8,1255 W GRANGEVILLE BLVD 8  HANFORD 93230,36.34081,-119.66476,,,,,,,
7,HAMILTON ELEMENTARY SCHOOL LIBRARY,1269 LELAND WAY  HANFORD 93230,36.34922,-119.62544,,,,,,,
8,County of Kings Elections,1400 W Lacey Blvd  Hanford 93230,36.32982,-119.66395,,,,,,,
9,CENTRAL UNION SCHOOL DISTRICT,15783 18TH AVE  LEMOORE 93245,36.24345,-119.78029,,,,,,,
10,PIONEER DISTRICT OFFICE BOARD ROOM,1888 N MUSTANG DR  HANFORD 93230,36.34565,-119.68746,,,,,,,
11,STRATFORD FIRE STATION #10,20200 MAIN ST  STRATFORD 93266,36.18939,-119.82189,,,,,,,
12,FIRST CHRISTIAN REFORMED CHURCH GARAGE,2175 LEONI DR  HANFORD 93230,36.35125,-119.64776,,,,,,,
13,OUTREACH CENTER FIRST PRESBYTERIAN CHURC,220 DEWEY ST  HANFORD 93230,36.32932,-119.64856,,,,,,,
14,LATTER DAY SAINTS CHURCH PRIMARY ROOM,2400 N 11TH AVE  HANFORD 93230,36.35568,-119.6558,,,,,,,
15,LEMOORE PRESBYTERIAN CHURCH SOCIAL HALL,260 B ST  LEMOORE 93245,36.29991,-119.78409,,,,,,,
16,THE REMINGTON ACTIVITY ROOM,2727 N 11TH AVE  HANFORD 93230,36.36113,-119.65413,,,,,,,
17,LONGFIELD CENTER,560 S DOUTY ST  HANFORD 93230,36.31986,-119.64509,,,,,,,
18,LEMOORE MASONIC TEMPLE RM 1,647 W BUSH ST  LEMOORE 93245,36.29798,-119.79046,,,,,,,
19,AG BUILDING MULTI-PURPOSE ROOM #F,680 N CAMPUS DR  HANFORD 93230,36.33219,-119.66398,,,,,,,
20,AVENAL RECREATION CENTER,717 E MONTEREY ST  AVENAL 93204,36.00833,-120.12604,,,,,,,
21,ISLAND FIRE STATION #6,7735 21ST AVE  LEMOORE 93245,36.36246,-119.83358,,,,,,,
22,LEMOORE SENIOR CENTER GENE STEBBINS BLDG,789 S LEMOORE AVE  LEMOORE 93245,36.28528,-119.78191,,,,,,,
23,THE CHURCH OF JESUS CHRIST OF LATTER DAY,800 E HANFORD-ARMONA RD  LEMOORE 93245,36.31348,-119.77164,,,,,,,
24,MARTIN LUTHER KING ELEM. SCHOOL LIBRARY,820 HUME AVE  HANFORD 93230,36.30649,-119.6568,,,,,,,
25,KATE BOSWELL SENIOR CENTER,900 DAIRY AVE  CORCORAN 93212,36.10115,-119.57284,,,,,,,
26,LEE RICHMOND TEACHER RESOURCE CENTER,934 KATIE HAMMOND ST  HANFORD 93230,36.33813,-119.6314,,,,,,,
27,GRACE BAPTIST CHURCH,946 DAPHNE LN  LEMOORE 93245,36.30895,-119.7688,,,,,,,
