Unnamed: 0,name,address,lat,lon,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),Is Early Voting,Is Drop Off,manual
1435,Wasco Library,"1102 7th St, Wasco, CA 93280, USA",35.59453,-119.33842,1435.0,CA,KERN COUNTY,Locality wide location,False,False,1.0
1436,Kern County Election Office,"1115 Truxtun Ave, Bakersfield, CA 93301, USA",35.37265,-119.0149,1436.0,CA,KERN COUNTY,Locality wide location,False,False,1.0
1437,Frazier Park Library,"3732 Park Dr, Frazier Park, CA 93225, USA",34.81922,-118.94845,1437.0,CA,KERN COUNTY,Locality wide location,False,False,1.0
1438,Kern River Valley Library,"7054 Lake Isabella Blvd, Lake Isabella, CA 93240, USA",35.63769,-118.46682,1438.0,CA,KERN COUNTY,Locality wide location,False,False,1.0
1439,Cal State Bakersfield,"9001 Stockdale Hwy, Bakersfield, CA 93311, USA",35.34866,-119.10334,1439.0,CA,KERN COUNTY,Locality wide location,False,False,1.0
1440,Delano Library,"925 10th Ave, Delano, CA 93215, USA",35.76947,-119.24465,1440.0,CA,KERN COUNTY,Locality wide location,False,False,1.0
1441,Ridgecrest Library,"Ridgecrest Public Library, 131 E Las Flores Ave, Ridgecrest, CA 93555, USA",35.62902,-117.66865,1441.0,CA,KERN COUNTY,Locality wide location,False,False,1.0
1442,Rosamond Library,"Rosamond Boulevard, 3611 W Rosamond Blvd, Rosamond, CA 93560, USA",34.86431,-118.19537,1442.0,CA,KERN COUNTY,Locality wide location,False,False,1.0
1443,Weldon United Methodist Church,"20021 CA-178, Weldon, CA 93283, USA",35.6671,-118.2811,1443.0,CA,KERN COUNTY,Voting Pct 11155,False,False,1.0
1444,Kern River Valley Veterans Building,"6405 Lake Isabella Blvd, Lake Isabella, CA 93240, USA",35.62888,-118.47408,1444.0,CA,KERN COUNTY,"Voting Pct 11190, Voting Pct 12173",False,False,1.0
1445,Norris Middle School,"6940 Calloway Dr, Bakersfield, CA 93312, USA",35.42197,-119.10939,1445.0,CA,KERN COUNTY,Voting Pct 11195,False,False,1.0
1446,Delano Regional Medical Center,"1401 Garces Hwy, Delano, CA 93215, USA",35.76229,-119.23925,1446.0,CA,KERN COUNTY,"Voting Pct 11548, Voting Pct 11580",False,False,1.0
1447,Harold Olson Rotary Village,"1635 Randolph St, Delano, CA 93215, USA",35.77697,-119.23224,1447.0,CA,KERN COUNTY,Voting Pct 11550,False,False,1.0
1448,Terrace Elementary School,"1999 Norwalk St, Delano, CA 93215, USA",35.78305,-119.24136,1448.0,CA,KERN COUNTY,"Voting Pct 11552, Voting Pct 11540",False,False,1.0
1449,Pioneer Middle School,"1001 Hiett Ave, Delano, CA 93215, USA",35.76721,-119.26961,1449.0,CA,KERN COUNTY,"Voting Pct 11554, Voting Pct 11546, Voting Pct 11557, Voting Pct 11530",False,False,1.0
1450,Civic Center Hall - Auditorium,"1009 11th Ave, Delano, CA 93215, USA",35.7708,-119.24438,1450.0,CA,KERN COUNTY,"Voting Pct 11610, Voting Pct 11570",False,False,1.0
1451,North Kern Community School,"1915 Cecil Ave, Delano, CA 93215, USA",35.7768,-119.22954,1451.0,CA,KERN COUNTY,Voting Pct 11626,False,False,1.0
1452,St Jude's Catholic Church,"86 Nellie Dent Dr, Wofford Heights, CA 93285, USA",35.71017,-118.44383,1452.0,CA,KERN COUNTY,Voting Pct 11725,False,False,1.0
1453,Inyokern Baptist Church,"6521 Plains Ave, Inyokern, CA 93527, USA",35.64057,-117.81303,1453.0,CA,KERN COUNTY,"Voting Pct 11991, Voting Pct 13078, Voting Pct 11990",False,False,1.0
1454,Kern Valley High School,"3340 Erskine Creek Rd, Lake Isabella, CA 93240, USA",35.61018,-118.46696,1454.0,CA,KERN COUNTY,Voting Pct 12171,False,False,1.0
1455,Kern River Valley Eagles Lodge,"12251 CA-178, Lake Isabella, CA 93240, USA",35.6414,-118.40757,1455.0,CA,KERN COUNTY,Voting Pct 12505,False,False,1.0
1456,St Elizabeth's Church,"835 E Perkins Ave, McFarland, CA 93250, USA",35.68125,-119.21775,1456.0,CA,KERN COUNTY,Voting Pct 12591,False,False,1.0
1457,Church Of The Living Savior,"149 5th St, McFarland, CA 93250, USA",35.6754,-119.2343,1457.0,CA,KERN COUNTY,"Voting Pct 12592, Voting Pct 12593",False,False,1.0
