geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_asn,vbm_rate_lat,vbm_rate_youth
6103000100,103,0.03384,0.0,0.93555,0.0,0.21,0.0,0.14161,0.0,0.07684,0.0,0.00726,1.0,0.00149,1.0,0.17439,0.0,0.75774,0.0,0.0827,0.0,0.16052,0,0.06107,0.08242,4699.0,3001.27343,1.56567,0.75718,0.84342,0.69594,0.77371
6103000200,103,0.04103,0.0,0.93669,0.0,0.20746,0.0,0.19185,0.0,0.07858,0.0,0.01406,1.0,0.00683,1.0,0.15375,0.0,0.77122,0.0,0.13311,0.0,0.12291,0,0.02245,0.15999,7705.0,249.97195,30.82346,0.74208,0.74102,0.68449,0.73004
6103000300,103,0.08542,0.0,0.95974,0.0,0.21148,0.0,0.17912,0.0,0.09282,0.0,0.00791,1.0,0.00541,1.0,0.22685,0.0,0.71988,0.0,0.07971,0.0,0.17723,0,0.02833,0.08316,4515.0,3334.62411,1.35398,0.75459,0.58709,0.66916,0.73354
6103000400,103,0.01649,1.0,0.97182,0.0,0.20553,0.0,0.11401,0.0,0.0385,0.0,0.03035,1.0,0.01682,1.0,0.09834,0.0,0.79466,0.0,0.09994,0.0,0.19561,0,0.04402,0.09549,5508.0,287.60175,19.15148,0.76569,0.68125,0.72939,0.75558
6103000500,103,0.02649,1.0,0.87483,0.0,0.17255,0.0,0.24816,0.0,0.1206,0.0,0.04577,1.0,0.01274,0.0,0.13552,0.0,0.7594,0.0,0.08413,0.0,0.49564,0,0.18655,0.06343,5507.0,8.6894,633.76078,0.69801,0.57892,0.71664,0.63242
6103000600,103,0.02877,1.0,0.91088,0.0,0.27503,0.0,0.24856,0.0,0.07136,0.0,0.01435,1.0,0.01718,1.0,0.21861,0.0,0.72135,0.0,0.08646,0.0,0.32704,0,0.0745,0.07601,5213.0,14.19828,367.15723,0.7431,0.80994,0.63082,0.68498
6103000700,103,0.02978,1.0,0.90448,0.0,0.27696,0.0,0.24774,0.0,0.08516,0.0,0.01831,1.0,0.0027,1.0,0.16564,0.0,0.75866,0.0,0.1204,0.0,0.44588,0,0.17341,0.10158,7828.0,13.5508,577.67809,0.68651,0.67905,0.69132,0.68301
6103000800,103,0.17364,0.0,0.952,0.0,0.1479,0.0,0.22317,0.0,0.04473,0.0,0.00116,1.0,0.0,1.0,0.37428,0.0,0.54114,0.0,0.06147,0.0,0.40732,0,0.13577,0.05935,4112.0,132.94006,30.93123,0.6576,0.67459,0.62616,0.79691
6103000900,103,0.09148,0.0,0.91878,0.0,0.13803,0.0,0.1768,0.0,0.09344,0.0,0.01305,1.0,0.0,1.0,0.24177,0.0,0.73064,0.0,0.05417,0.0,0.38603,0,0.04353,0.06203,3678.0,275.28038,13.36092,0.68015,0.62188,0.61503,0.66554
6103001000,103,0.10655,0.0,0.92245,0.0,0.14149,0.0,0.23004,0.0,0.05929,0.0,0.0124,1.0,0.0,1.0,0.39459,0.0,0.58031,0.0,0.09862,0.0,0.31343,0,0.10254,0.11796,7175.0,181.37477,39.55898,0.66896,0.64457,0.58266,0.67385
6103001100,103,0.16321,0.0,0.9077,0.0,0.1185,0.0,0.30434,0.0,0.08491,0.0,0.0031,1.0,0.00787,1.0,0.48432,0.0,0.46883,0.0,0.09928,0.0,0.41227,0,0.12783,0.09859,7523.0,172.49208,43.6136,0.65887,0.77719,0.59923,0.67287
