name,address,lat,lon,ElecDayVotes,EarlyVotes,BallotsCast,WaitTimeHr
Aliso Viejo Branch Library,1 Journey Aliso Viejo CA 92656,33.57006,-117.7268,,,,
Soka University of America Founders Hall,1 University Cir Aliso Viejo CA 92656,33.55538,-117.73401,,,,
Iglesia Park Community Center ,24671 Via Iglesia Aliso Viejo CA 92656,33.60389,-117.72293,,,,
Renaissance Club Sport,50 Enterprise Aliso Viejo CA 92656,33.58255,-117.73019,,,,
Zion Lutheran Church,222 N East St Anaheim CA 92805,33.84024,-117.90139,,,,
West Anaheim Youth Center,320 S Beach Blvd Anaheim CA 92804,33.82895,-117.99276,,,,
East Anaheim Community Center,8201 E Santa Ana Canyon Rd Anaheim CA 92808,33.8688,-117.74636,,,,
Brookhurst Community Center,2271 Crescent Ave Anaheim CA 92801,33.84031,-117.9622,,,,
Ponderosa Family Resource Center,320 E Orangewood Ave Anaheim CA 92802,33.79582,-117.90399,,,,
Anaheim Elementary School District,1001 S East St Anaheim CA 92805,33.82275,-117.89822,,,,
Savanna School District,1330 S Knott Ave Anaheim CA 92804,33.81376,-118.00944,,,,
Anaheim Independencia Family Resource Center,10841 Garza Ave Anaheim CA 92804,33.80513,-117.97036,,,,
St Anthony Mary Claret Catholic Church,1450 E La Palma Ave Anaheim CA 92805,33.84675,-117.89922,,,,
Islamic Institute of Orange County,1220 N State College Blvd Anaheim CA 92806,33.85171,-117.88876,,,,
West Coast Islamic Society,1717 S Brookhurst St Anaheim CA 92804,33.8056,-117.95954,,,,
Bombay Club,1125 N Magnolia Ave Anaheim CA 92801,33.84782,-117.97661,,,,
Haskett Branch Library,2650 W Broadway Anaheim CA 92804,33.8282,-117.97862,,,,
Canyon Hills Branch Library,400 S Scout Trail Anaheim CA 92807,33.84508,-117.78544,,,,
Camphor Tree Plaza,2060 S Euclid St Ste EF Anaheim CA 92802,33.7964,-117.94032,,,,
Sunkist Branch Library,901 S Sunkist St Anaheim CA 92806,33.82814,-117.881,,,,
River Arena Church,201 E Broadway Anaheim CA 92805,33.83407,-117.91144,,,,
Brea Museum & Historical Society,495 S Brea Blvd Brea CA 92821,33.91339,-117.90236,,,,
Brea Fire Station # 2,200 N Brea Blvd Brea CA 92821,33.92098,-117.89755,,,,
Embassy Suites by Hilton Brea,900 E Birch St Brea CA 92821,33.91738,-117.88764,,,,
Walter Knott Education Center,7300 La Palma Ave Buena Park CA 90620,33.84625,-118.00539,,,,
Buena Park Community Center,6688 Beach Blvd Buena Park CA 90621,33.8638,-117.99562,,,,
Hampton Inn & Suites Buena Park,7307 Artesia Blvd Buena Park CA 90621,33.87386,-118.00537,,,,
La Quinta Inn & Suites Buena Park,3 Centerpointe Dr La Palma CA 90623,33.86045,-118.03155,,,,
Boiserranc Park,7520 Dale St Buena Park CA 90620,33.85311,-117.98306,,,,
Costa Mesa City Hall,77 Fair Dr Costa Mesa CA 92626,33.66321,-117.90266,,,,
Balearic Community Center,1975 Balearic Dr Costa Mesa CA 92626,33.67473,-117.93904,,,,
Costa Mesa Senior Center,695 W 19th St Costa Mesa CA 92627,33.64305,-117.92727,,,,
Costa Mesa Library-Donald Dungan Library,1855 Park Ave Costa Mesa CA 92627,33.64189,-117.9222,,,,
Sofia University,3333 Harbor Blvd Costa Mesa CA 92626,33.69471,-117.9207,,,,
Coast Community College District,1370 Adams Ave Costa Mesa CA 92626,33.67405,-117.91616,,,,
John Wayne Airport Administration Office,3160 Airway Ave Costa Mesa CA 92626,33.6785,-117.87107,,,,
Cypress Branch Library,5331 Orange Ave Cypress CA 90630,33.82483,-118.03938,,,,
