Unnamed: 0,name,address,lat,lon,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),Is Early Voting,Is Drop Off,manual
5568,Boulder Creek Recreation Hall,"13333 Middleton Ave, Boulder Creek, CA 95006, USA",37.12591,-122.12162,5569.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5569,Kaiser Permanente Arena,"140 Front St, Santa Cruz, CA 95060, USA",36.96828,-122.02319,5570.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5570,Bonny Doon Elementary School,"1492 Pine Flat Rd, Santa Cruz, CA 95060, USA",37.06068,-122.14848,5571.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5571,Calabasas Elementary School,"202 Calabasas Rd, Watsonville, CA 95076, USA",36.94376,-121.79257,5572.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5572,New Brighton Middle School,"250 Washburn Ave, Capitola, CA 95010, USA",36.97875,-121.94796,5573.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5573,Gateway School,"255 Swift St, Santa Cruz, CA 95060, USA",36.95424,-122.0493,5574.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5574,Santa Cruz County Fairgrounds,"2601 E Lake Ave, Watsonville, CA 95076, USA",36.95081,-121.73506,5575.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5575,Watsonville City Clerk's Office,"275 Main St 4th Floor, Watsonville, CA 95076, USA",36.90851,-121.75588,5576.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5576,Temple Beth El,"3055 Porter Gulch Rd, Aptos, CA 95003, USA",36.99119,-121.92971,5577.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5577,La Selva Beach Clubhouse,"314 Estrella Ave, Watsonville, CA 95076, USA",36.93762,-121.86342,5578.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5578,Scotts Valley Community Center,"360 Kings Village Rd, Scotts Valley, CA 95066, USA",37.05053,-122.02821,5579.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5579,Soquel High School,"401 Soquel San Jose Rd, Soquel, CA 95073, USA",36.99167,-121.95969,5580.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5580,Scotts Valley High School,"555 Glenwood Dr, Scotts Valley, CA 95066, USA",37.07212,-122.00513,5581.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5581,UCSC Merrill Cultural Center,"620 Crown Rd, Santa Cruz, CA 95064, USA",37.00023,-122.05477,5582.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5582,Santa Cruz County Clerk/Elections,"701 Ocean St #310, Santa Cruz, CA 95060, USA",36.97785,-122.02264,5583.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5583,Votemobile,"701 Ocean St, Santa Cruz, CA 95060, USA",36.97785,-122.02264,5584.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5584,San Lorenzo Valley High School,"7105 Hwy 9, Felton, CA 95018, USA",37.06235,-122.08194,5585.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5585,Masonic Center,"828 N Branciforte Ave, Santa Cruz, CA 95062, USA",36.98034,-122.01402,5586.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5586,Pajaro Valley Community Trust,"85 Nielson St, Watsonville, CA 95076, USA",36.92635,-121.79405,5587.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
5587,Simpkins Swim Center,"979 17th Ave, Santa Cruz, CA 95062, USA",36.96903,-121.98788,5588.0,CA,SANTA CRUZ COUNTY,Locality wide location,False,False,1.0
