Unnamed: 0,name,address,lat,lon,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),Is Early Voting,Is Drop Off,manual
60,Vista Del Lago,444 Whispering Pines Dr  Scotts Valley 95066,37.04135,-122.02965,,,,,,,
61,Congregational Church Of Soquel,4951 Soquel Dr  Soquel 95073,36.98889,-121.95353,,,,,,,
62,Our Lady Star Of The Sea Church,515 Frederick St  Santa Cruz 95062,36.97781,-122.00442,,,,,,,
63,Live Oak Sheriff's Service Center,5200 Soquel Ave  Santa Cruz 95062,36.98461,-121.97862,,,,,,,
64,Holy Eucharist Catholic Church,527 Corralitos Rd  Watsonville 95076,36.98588,-121.80925,,,,,,,
65,Scotts Valley High School,555 Glenwood Dr  Scotts Valley 95066,37.07083,-122.00773,,,,,,,
66,Pajaro Valley Fire Prevention District,562 Casserly Rd  Watsonville 95076,36.97427,-121.74194,,,,,,,
67,Felton Bible Church,5999 Graham Hill Rd  Felton 95018,37.04919,-122.06621,,,,,,,
68,"College Ten, Namaste Lounge",600 Mclaughlin Dr  Santa Cruz 95064,36.99996,-122.05769,,,,,,,
69,La Posada Senior Housing,609 Frederick St  Santa Cruz 95062,36.97956,-122.00524,,,,,,,
70,Advent Christian Conference-Camp Santa Cruz,631 26th Ave  Santa Cruz 95062,36.96255,-121.97684,,,,,,,
71,Unitarian Universalist Fellowship,6401 Freedom Blvd  Aptos 95003,36.9847,-121.86164,,,,,,,
72,County Government Center,701 Ocean St  Santa Cruz 95060,36.97785,-122.02264,,,,,,,
73,Museum Of Art & History At The Mcpherson Ctr.,705 Front St  Santa Cruz 95060,36.97441,-122.02542,,,,,,,
74,Church Of The Nazarene,710 Green Valley Rd  Watsonville 95076,36.9616,-121.76413,,,,,,,
75,Bonny Doon Fire And Rescue,7276 Empire Grade  Santa Cruz 95060,37.05758,-122.12229,,,,,,,
76,Pajaro Village,739 Bronte Ave  Watsonville 95076,36.91888,-121.73725,,,,,,,
77,Davenport Fire And Rescue,75 Marine View Ave  Davenport 95017,37.01225,-122.19608,,,,,,,
78,Santa Cruz Baptist Church,7565 Sunset Way  Aptos 95003,36.98057,-121.908,,,,,,,
79,Advent Christian Conference-Camp Santa Cruz,761 26th Ave  Santa Cruz 95062,36.96317,-121.97613,,,,,,,
80,Zayante Fire Protection District,7700 E Zayante Rd  Felton 95018,37.06692,-122.05702,,,,,,,
81,Monterey Bay Academy,783 San Andreas Rd  Watsonville 95076,36.91213,-121.83776,,,,,,,
82,Santa Cruz Gardens Elementary Sch.,8005 Winkle Ave  Santa Cruz 95065,37.00297,-121.97753,,,,,,,
83,Santa Cruz Masonic Temple,828 N Branciforte Ave  Santa Cruz 95062,36.98034,-122.01402,,,,,,,
84,Pajaro Valley Community Conference Room,85 Neilson St  Watsonville 95076,36.92825,-121.79423,,,,,,,
85,High Street Community Church,850 High St  Santa Cruz 95060,36.97876,-122.04557,,,,,,,
86,Highlands County Park Main House,8500 Highway 9  Ben Lomond 95005,37.07935,-122.08345,,,,,,,
87,Valley Heights Senior Community,925 Freedom Blvd  Watsonville 95076,36.91977,-121.76067,,,,,,,
88,Ben Lomond Fire House,9430 Highway 9  Ben Lomond 95005,37.08961,-122.08862,,,,,,,
89,Simpkins Family Swim Center,979 17th Ave  Santa Cruz 95062,36.96903,-121.98788,,,,,,,
90,St. Andrews Presbyterian Church,9850 Monroe Ave  Aptos 95003,36.97406,-121.87552,,,,,,,
91,Ss. Peter & Paul Orthodox Church,9980 Highway 9 & Brown Gables Rd  Ben Lomond 95005,37.09302,-122.09564,,,,,,,
92,Crown College,Crown Col  Santa Cruz 95064,37.00026,-122.05453,,,,,,,
93,Oakes College,Oakes Col  Santa Cruz 95064,36.98948,-122.06286,,,,,,,
94,Stevenson College,Stevenson Col  Santa Cruz 95064,36.99702,-122.05191,,,,,,,
