lat,lon
37.70626,-122.46891
37.68464,-122.46616
37.66446,-122.44421
37.63773,-122.41633
37.60024,-122.38676
37.61609,-122.39195
37.70626,-122.46891
37.68464,-122.46616
37.66446,-122.44421
37.63773,-122.41633
37.60024,-122.38676
37.61609,-122.39195
37.68476,-122.46606
37.59994,-122.38714
37.63769,-122.4161
37.61591,-122.39253
37.65589,-122.40487
37.65595,-122.40502
37.63113,-122.41197
37.63111,-122.41208
37.59988,-122.38665
37.5998,-122.38683
37.58764,-122.36265
37.58755,-122.36271
37.5802,-122.3449
37.58019,-122.34508
37.56809,-122.32385
37.56829,-122.32409
37.55294,-122.30934
37.55299,-122.30961
37.53787,-122.29735
37.53781,-122.29746
37.52089,-122.27574
37.52084,-122.27582
37.50805,-122.26015
37.50793,-122.26027
37.48616,-122.23194
37.4861,-122.232
37.46465,-122.19779
37.46458,-122.19787
37.45486,-122.1823
37.45475,-122.1824
37.59946,-122.38652
37.59294,-122.383
37.58831,-122.37573
37.58565,-122.37808
37.58376,-122.38285
37.58574,-122.37789
37.58831,-122.37562
37.539,-122.29816
37.5437,-122.29369
37.55712,-122.28114
37.55906,-122.272
37.56513,-122.26946
37.5628,-122.27727
37.55952,-122.28731
37.56339,-122.26919
37.70386,-122.40759
37.69192,-122.40449
37.68488,-122.4024
37.68272,-122.40065
37.6814,-122.39956
37.6799,-122.39842
37.68028,-122.39418
37.68525,-122.39768
37.68738,-122.40264
37.68817,-122.40471
37.68832,-122.41042
37.68867,-122.4119
37.69099,-122.41638
37.69187,-122.41933
37.69265,-122.42221
37.69283,-122.42405
37.68968,-122.41935
37.68747,-122.41384
37.68804,-122.41486
37.69299,-122.40473
37.66364,-122.44338
37.66344,-122.39207
37.66206,-122.3915
37.66165,-122.39279
37.66242,-122.38796
37.66466,-122.3843
37.66653,-122.38336
37.66222,-122.38594
37.65678,-122.39337
37.6593,-122.39177
37.66104,-122.39011
37.66259,-122.37737
37.6528,-122.39974
37.65375,-122.3962
37.65104,-122.39186
37.65031,-122.38741
37.65194,-122.38278
37.65392,-122.39015
37.64883,-122.39449
37.64655,-122.39538
37.64476,-122.39889
37.64729,-122.40537
37.64881,-122.38555
37.6559,-122.40526
37.6663,-122.39785
37.66019,-122.40377
37.60129,-122.38519
37.59779,-122.374
37.5935,-122.37102
37.59485,-122.37383
37.59758,-122.37908
37.60245,-122.37202
37.59909,-122.36731
37.59399,-122.36442
37.59088,-122.35034
37.59034,-122.34078
37.5895,-122.34342
37.58974,-122.34742
37.59084,-122.34997
37.59457,-122.36443
37.59961,-122.36756
37.60287,-122.37243
37.54696,-122.3082
37.54704,-122.31493
37.54571,-122.32071
37.53371,-122.32761
37.53654,-122.32728
37.5366,-122.32363
37.53216,-122.32364
37.52992,-122.31409
37.53173,-122.30836
37.54623,-122.30778
37.53294,-122.32675
37.55272,-122.29156
37.55164,-122.29041
37.54962,-122.28795
37.55099,-122.28651
37.55136,-122.28916
37.55401,-122.29966
37.55741,-122.30326
37.55642,-122.28806
37.56136,-122.28757
37.56586,-122.28216
37.56969,-122.28333
37.56956,-122.28039
37.56941,-122.26932
37.57085,-122.26947
37.56626,-122.27249
37.56796,-122.27453
37.57134,-122.26631
37.56314,-122.28162
37.48638,-122.20289
37.48599,-122.20107
37.48595,-122.20663
37.48575,-122.2066
37.48536,-122.20406
37.48562,-122.23086
37.5001,-122.21384
37.50417,-122.21987
37.50255,-122.21963
37.499,-122.2173
37.70512,-122.4066
37.53319,-122.25896
37.53569,-122.25897
37.53691,-122.25857
37.53976,-122.25642
37.53791,-122.2546
37.50717,-122.25949
37.51465,-122.26004
37.51645,-122.26309
37.51905,-122.2641
37.5192,-122.26508
37.6901,-122.41409
37.49346,-122.21947
37.55292,-122.30834
37.55289,-122.30873
37.58561,-122.47665
37.62169,-122.48582
37.58244,-122.48358
37.58113,-122.48365
37.62983,-122.48995
37.62993,-122.49022
37.58933,-122.48711
37.59119,-122.48923
37.59244,-122.48847
37.59527,-122.49752
37.59349,-122.49221
37.59364,-122.49249
37.59882,-122.48268
37.59873,-122.48254
37.59895,-122.49937
37.59661,-122.4969
37.59424,-122.48099
37.59429,-122.48085
37.58969,-122.48419
37.58966,-122.48438
37.59332,-122.49575
37.59332,-122.49609
37.59341,-122.48887
37.59804,-122.49801
37.59824,-122.49799
37.58976,-122.48846
37.59598,-122.49868
37.62854,-122.48978
37.66457,-122.48206
37.66463,-122.48252
37.66028,-122.47876
37.6606,-122.47883
37.66577,-122.48593
37.66318,-122.47952
37.66298,-122.47958
37.64843,-122.47491
37.65393,-122.48067
37.6541,-122.48078
37.6574,-122.47888
37.65933,-122.47815
37.65994,-122.4779
37.65516,-122.47892
37.65679,-122.47905
37.59921,-122.50015
37.60887,-122.49476
37.6666,-122.48509
37.61415,-122.4865
37.61368,-122.48761
37.60831,-122.49624
37.62086,-122.48483
37.62045,-122.48528
37.65204,-122.47817
37.65212,-122.47806
37.64824,-122.4751
37.65109,-122.47751
37.65115,-122.47733
37.65391,-122.4792
37.58204,-122.47973
37.59558,-122.50293
37.62173,-122.4843
37.64595,-122.47171
37.6512,-122.48376
37.65104,-122.48348
37.65168,-122.48884
37.6518,-122.48898
37.63047,-122.48897
37.63012,-122.4891
37.63408,-122.48936
37.63434,-122.48924
37.64136,-122.49067
37.64191,-122.49079
37.64895,-122.4905
37.64598,-122.49105
37.64699,-122.49096
37.65037,-122.49036
37.65075,-122.49016
37.63689,-122.48926
37.63672,-122.48943
37.58232,-122.47486
37.5829,-122.47465
37.65395,-122.49095
37.6371,-122.49232
37.63049,-122.49248
37.63012,-122.49268
37.65464,-122.49146
37.6499,-122.49107
37.64896,-122.49114
37.63298,-122.4922
37.6325,-122.49263
37.65238,-122.49079
37.65221,-122.49092
37.66052,-122.48948
37.64599,-122.49202
37.6461,-122.49223
37.6355,-122.492
37.63516,-122.49214
37.6206,-122.48548
37.66086,-122.49173
37.59101,-122.49743
37.58847,-122.49918
37.58097,-122.48697
37.58339,-122.49281
37.64882,-122.47205
37.64589,-122.47086
37.5857,-122.47652
37.58865,-122.47706
37.59885,-122.48153
37.59403,-122.4761
37.59387,-122.47613
37.59598,-122.47928
37.59601,-122.47958
37.5976,-122.48153
37.58385,-122.47491
37.64939,-122.49149
37.62058,-122.48458
37.58199,-122.48891
37.58573,-122.49722
37.58763,-122.47746
37.66562,-122.48538
37.64016,-122.49258
37.58215,-122.47947
37.63899,-122.49238
37.59897,-122.499
37.58478,-122.47576
37.63952,-122.49241
37.63927,-122.4924
37.59206,-122.47549
37.58863,-122.49414
37.58418,-122.48644
37.5826,-122.48331
37.59107,-122.4971
37.59118,-122.49701
37.58416,-122.48621
37.58846,-122.49399
37.58237,-122.48316
37.57021,-122.51565
37.56998,-122.5158
37.54544,-122.51364
37.53745,-122.51739
37.53556,-122.51796
37.54375,-122.5141
37.54401,-122.51381
37.54194,-122.51542
37.54224,-122.51501
37.53829,-122.50486
37.53717,-122.50036
37.53228,-122.5036
37.53584,-122.50078
37.53745,-122.50032
37.5381,-122.50482
37.536,-122.50077
37.53238,-122.50366
37.54041,-122.50968
37.54045,-122.50973
37.53957,-122.5079
37.5395,-122.50758
37.50937,-122.4981
37.52847,-122.51289
37.52846,-122.51265
37.52769,-122.51139
37.52507,-122.50863
37.52497,-122.50865
37.52754,-122.51089
37.50962,-122.4982
37.52652,-122.50764
37.52749,-122.51074
37.52729,-122.51073
37.52415,-122.5106
37.52373,-122.51094
37.50434,-122.49184
37.50418,-122.49185
37.50352,-122.47458
37.50553,-122.48041
37.50337,-122.47356
37.50423,-122.47686
37.50417,-122.47703
37.50509,-122.48008
37.5024,-122.46934
37.50266,-122.46962
37.50067,-122.46732
37.5007,-122.46713
37.49585,-122.4575
37.51989,-122.51028
37.51964,-122.51017
37.49613,-122.45771
37.50479,-122.48157
37.50489,-122.48169
37.50467,-122.48741
37.5048,-122.48676
37.49325,-122.45328
37.49462,-122.45439
37.43573,-122.42702
37.4758,-122.43875
37.47622,-122.43949
37.4319,-122.42652
37.43076,-122.42679
37.4398,-122.42762
37.46483,-122.43423
37.44092,-122.42797
37.49135,-122.45171
37.4905,-122.45138
37.4838,-122.44671
37.48385,-122.44654
37.4793,-122.4424
37.47878,-122.44217
37.47198,-122.43521
37.4731,-122.43591
37.48154,-122.44505
37.47813,-122.41423
37.46802,-122.43195
37.46814,-122.42895
37.47587,-122.41796
37.4691,-122.4258
37.46909,-122.42633
37.48023,-122.40592
37.48028,-122.40663
37.45704,-122.43001
37.45538,-122.42982
37.4515,-122.42934
37.46015,-122.42968
37.46245,-122.42932
37.4696,-122.43508
37.46207,-122.42957
37.44762,-122.42891
37.42946,-122.42859
37.45719,-122.43015
37.45563,-122.43
37.45145,-122.42948
37.43273,-122.42063
37.43476,-122.41745
37.48826,-122.4496
37.43133,-122.42616
37.46387,-122.43227
37.46934,-122.4317
37.46979,-122.43251
37.46729,-122.4295
37.4639,-122.43132
37.4961,-122.36812
37.49558,-122.36868
37.49214,-122.38636
37.49086,-122.38872
37.25967,-122.41292
37.2503,-122.3925
37.25054,-122.39234
37.25178,-122.38284
37.25982,-122.41301
37.46005,-122.42984
37.3244,-122.39936
37.32686,-122.38676
37.44896,-122.26512
37.44785,-122.26016
37.44834,-122.26046
37.40393,-122.24758
37.40399,-122.24812
37.40426,-122.2514
37.40433,-122.25192
37.42022,-122.26967
37.44466,-122.23414
37.44468,-122.23448
37.38176,-122.19468
37.39288,-122.19086
37.39341,-122.19092
37.38464,-122.21921
37.36789,-122.21142
37.38131,-122.2178
37.37208,-122.20877
37.3721,-122.20854
37.37455,-122.21517
37.37489,-122.21548
37.39835,-122.24432
37.37548,-122.21949
37.37542,-122.21905
37.39657,-122.24614
37.3876,-122.23766
37.38725,-122.23755
37.38106,-122.22679
37.38296,-122.23223
37.38307,-122.23205
37.37912,-122.22479
37.37927,-122.22468
37.38394,-122.2343
37.38535,-122.22242
37.39149,-122.24102
37.3823,-122.22896
37.38354,-122.21599
37.37708,-122.19961
37.3823,-122.19436
37.37159,-122.20824
37.37151,-122.2086
37.40304,-122.19298
37.40172,-122.1965
37.40204,-122.19647
37.39838,-122.25621
37.38836,-122.26332
37.38829,-122.26336
37.39279,-122.26134
37.4002,-122.19298
37.40004,-122.19277
37.38689,-122.26459
37.40324,-122.19313
37.69314,-122.48046
37.6933,-122.48055
37.68452,-122.47941
37.68447,-122.47929
37.68189,-122.47846
37.70796,-122.44212
37.70472,-122.43623
37.70475,-122.43173
37.70442,-122.43869
37.7048,-122.43396
37.70411,-122.44183
37.70622,-122.46885
37.70612,-122.46874
37.70596,-122.46889
37.704,-122.40752
37.66444,-122.48902
37.70515,-122.4504
37.70532,-122.45025
37.68158,-122.47835
37.70723,-122.44462
37.70825,-122.44072
37.70647,-122.43705
37.70743,-122.43859
37.70649,-122.4464
37.70655,-122.44659
37.70737,-122.44115
37.70718,-122.45304
37.68204,-122.47675
37.65379,-122.46913
37.65422,-122.46892
37.65787,-122.47057
37.6655,-122.47499
37.66562,-122.47483
37.65707,-122.4702
37.6689,-122.47546
37.66103,-122.47115
