Unnamed: 0,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),name,address,lat,lon,Is Early Voting,Is Drop Off,manual
1290,1290,CA,FRESNO COUNTY,Locality wide location,REEDLEY COMMUNITY CENTER,"100 N. East Ave, Reedley, CA 93654, USA",36.59756,-119.44357,False,False,1
1291,1291,CA,FRESNO COUNTY,Locality wide location,HAMILTON SCHOOL GYMNASIUM,"102 E Clinton Ave, Fresno, CA 93704, USA",36.77157,-119.81081,False,False,1
1292,1292,CA,FRESNO COUNTY,Locality wide location,CLOVIS COMMUNITY COLLEGE - WILLOW CAMPUS,"10309 N Willow Ave, Fresno, CA 93720, USA",36.88686,-119.73111,False,False,1
1293,1293,CA,FRESNO COUNTY,Locality wide location,CLOVIS CITY UTILITY BUILDING,"1033 5th St, Clovis, CA 93612, USA",36.82474,-119.69591,False,False,1
1294,1294,CA,FRESNO COUNTY,Locality wide location,SIERRA VISTA MALL,"1050 Shaw Ave, Clovis, CA 93612, USA",36.80589,-119.69518,False,False,1
1295,1295,CA,FRESNO COUNTY,Locality wide location,PARLIER COMMUNITY CENTER,"1100 E Parlier Ave, Parlier, CA 93648, USA",36.61143,-119.53479,False,False,1
1296,1296,CA,FRESNO COUNTY,Locality wide location,ST AGNES ADMINISTRATION CENTER,"1111 E Spruce Ave, Fresno, CA 93720, USA",36.8414,-119.76258,False,False,1
1297,1297,CA,FRESNO COUNTY,Locality wide location,MENDOTA BRANCH LIBRARY,"1246 Belmont Ave, Mendota, CA 93640, USA",36.74876,-120.38471,False,False,1
1298,1298,CA,FRESNO COUNTY,Locality wide location,GIRL SCOUTS OF CENTRAL CA SOUTH,"1377 W Shaw Ave, Fresno, CA 93711, USA",36.80791,-119.81686,False,False,1
1299,1299,CA,FRESNO COUNTY,Locality wide location,WEST FRESNO REGIONAL/LIBRARY BUILDING,"142 E California Ave, Fresno, CA 93706, USA",36.7202,-119.81045,False,False,1
1300,1300,CA,FRESNO COUNTY,Locality wide location,KERMAN COMMUNITY/TEEN CENTER,"15101 W Kearney Blvd, Kerman, CA 93630, USA",36.72689,-120.06138,False,False,1
1301,1301,CA,FRESNO COUNTY,Locality wide location,BUCHANAN HIGH SCHOOL,"1560 N Minnewawa Ave, Clovis, CA 93619, USA",36.85634,-119.71371,False,False,1
1302,1302,CA,FRESNO COUNTY,Locality wide location,FIREBAUGH SENIOR CENTER,"1601 Thomas Conboy Ave, Firebaugh, CA 93622, USA",36.86838,-120.46301,False,False,1
1303,1303,CA,FRESNO COUNTY,Locality wide location,JOHN PALACIOS COMMUNITY CENTER,"16846 4th St, Huron, CA 93234, USA",36.20038,-120.09978,False,False,1
1304,1304,CA,FRESNO COUNTY,Locality wide location,CPDES HALL,"172 W Jefferson Ave, Fresno, CA 93706, USA",36.65759,-119.79421,False,False,1
1305,1305,CA,FRESNO COUNTY,Locality wide location,VALLEY DREAM CENTER,"1835 N Winery Ave, Fresno, CA 93703, USA",36.76704,-119.73342,False,False,1
1306,1306,CA,FRESNO COUNTY,Locality wide location,Sanger High School,"1850 S Fowler Ave, Fresno, CA 93727, USA",36.70941,-119.68197,False,False,1
1307,1307,CA,FRESNO COUNTY,Locality wide location,KINGSBURG HIGH SCHOOL GYM,"1900 18th Ave, Kingsburg, CA 93631, USA",36.51821,-119.54737,False,False,1
1308,1308,CA,FRESNO COUNTY,Locality wide location,DBH HEALTH AND WELLNESS CENTER,"1925 E Dakota Ave, Fresno, CA 93726, USA",36.78725,-119.78759,False,False,1
1309,1309,CA,FRESNO COUNTY,Locality wide location,SELMA NEIGHBORHOOD RESOURCE CENTER,"1940 E Front St #102, Selma, CA 93662, USA",36.5677,-119.61193,False,False,1
1310,1310,CA,FRESNO COUNTY,Locality wide location,POLK ELEMENTARY,"2195 N Polk Ave, Fresno, CA 93722, USA",36.76903,-119.89092,False,False,1
1311,1311,CA,FRESNO COUNTY,Locality wide location,LEO CANTU COMMUNITY CENTER,"22058 Railroad St, San Joaquin, CA 93660, USA",36.60626,-120.18885,False,False,1
1312,1312,CA,FRESNO COUNTY,Locality wide location,FRESNO COUNTY ELECTIONS OFFICE,"2221 Kern St, Fresno, CA 93721, USA",36.73484,-119.78677,False,False,1
1313,1313,CA,FRESNO COUNTY,Locality wide location,HANH PHAN TILLEY ELEMENTARY SCHOOL,"2280 N Valentine Ave, Fresno, CA 93722, USA",36.77012,-119.85227,False,False,1
1314,1314,CA,FRESNO COUNTY,Locality wide location,INDEPENDENT ORDER OF ODD FELLOWS,"2823 Helm Ave, Clovis, CA 93612, USA",36.8007,-119.7217,False,False,1
1315,1315,CA,FRESNO COUNTY,Locality wide location,CLOVIS EAST HIGH SCHOOL,"2940 Leonard Ave, Clovis, CA 93619, USA",36.79967,-119.6406,False,False,1
1316,1316,CA,FRESNO COUNTY,Locality wide location,BETTY RODRIGUEZ LIBRARY,"3040 N Cedar Ave, Fresno, CA 93703, USA",36.77826,-119.75374,False,False,1
1317,1317,CA,FRESNO COUNTY,Locality wide location,FOWLER BRANCH LIBRARY,"306 S 7th St, Fowler, CA 93625, USA",36.62743,-119.67776,False,False,1
1318,1318,CA,FRESNO COUNTY,Locality wide location,MTN LIBRARY & ACTIVITY CENTER,"30733 E Kings Canyon Rd, Squaw Valley, CA 93675, USA",36.73842,-119.25071,False,False,1
1319,1319,CA,FRESNO COUNTY,Locality wide location,RIVERDALE UNIFIED DISTRICT OFFICE,"3160 W Mt Whitney Ave, Riverdale, CA 93656, USA",36.43134,-119.85689,False,False,1
1320,1320,CA,FRESNO COUNTY,Locality wide location,SIERRA OAKS SENIOR & COMMUNITY CENTER,"33276 Lodge Rd, Tollhouse, CA 93667, USA",37.03745,-119.45464,False,False,1
1321,1321,CA,FRESNO COUNTY,Locality wide location,CLOVIS COMMUNITY COLLEGE - HERNDON CAMPUS,"390 W Fir Ave, Clovis, CA 93611, USA",36.83791,-119.71754,False,False,1
1322,1322,CA,FRESNO COUNTY,Locality wide location,ELITE EVENT VENUE,"4105 W Figarden Dr, Fresno, CA 93722, USA",36.82961,-119.86516,False,False,1
